Common Name,Scientific Name
Snake Plant,Dracaena trifasciata
Monstera Deliciosa,Monstera deliciosa
Golden Pothos,Epipremnum aureum
ZZ Plant,Zamioculcas zamiifolia
Pothos,Epipremnum aureum
Fiddle-Leaf Fig,Ficus lyrata
Peace Lily,Spathiphyllum
Spider Plant,Chlorophytum comosum
Rubber Plant,Ficus elastica
Philodendron,Philodendron
Bird of Paradise,Strelitzia reginae
Boston Fern,Nephrolepis exaltata
String of Pearls,Senecio rowleyanus
Succulents,Crassulaceae (various species)
Air Plants,Tillandsia
Lavender,Lavandula
Catmint,Nepeta
Coneflower,Echinacea
Hydrangea,Hydrangea
Rose,Rosa
Peony,Paeonia
Hollyhock,Alcea
Daisy,Erigeron
Heathers,Calluna
Salvia,Salvia
Ivy,Hedera
Heuchera,Heuchera
Short-toothed Mountain Mint,Pycnanthemum muticum
Little Bluestem,Schizachyrium scoparium
Rattlesnake Master,Eryngium yuccifolium
Russian Sage,Perovskia atriplicifolia
Yarrow,Achillea
Pennsylvania Sedge,Carex pennsylvanica
Bee Balm,Monarda
Columbine,Aquilegia
Trumpet Vine,Campsis
Goldenrod,Solidago
Black-Eyed Susan,Rudbeckia
Foxglove,Digitalis parviflora
Sedge Grass,Carex
Blue Chalk Stick,Senecio mandraliscae
Beyond Blue Fescue,Festuca glauca 'Beyond Blue'
Allium caesium 'Zamin',Allium caesium 'Zamin'
Brunnera Jack Frost,Brunnera macrophylla 'Jack Frost'
Basil,Ocimum basilicum
Mint,Mentha
Parsley,Petroselinum crispum
Dwarf Alberta Spruce,Picea glauca 'Conica'
Carex Milk Chocolate,Carex milk chocolate ('Milchoc'PBR)
Apple,Malus domestica
Orange,Citrus sinensis
Lemon,Citrus limon
Lime,Citrus aurantiifolia
Banana,Musa
Strawberry,Fragaria ananassa
Blueberry,Vaccinium corymbosum
Raspberry,Rubus idaeus
Blackberry,Rubus fruticosus
Grape,Vitis vinifera
Watermelon,Citrullus lanatus
Cantaloupe,Cucumis melo
Peach,Prunus persica
Cherry,Prunus avium
Pear,Pyrus communis
Plum,Prunus domestica
Mango,Mangifera indica
Avocado,Persea americana
Pineapple,Ananas comosus
Coconut,Cocos nucifera
Tomato,Solanum lycopersicum
